Warehouse,Shipment,Calls,Category_Calls,Rating,Satisfactions,Cost,Purchase,Category_Purchase,Importance,Gender,Discount,Category_Discount,Weight,Category_Weight,Late
D,Flight,4,2 - 4 (Rendah),2,neutral or dissatisfied,177,3,Seldom,low,F,44,> 7 (High),1233,0 - 1332 (Small),1
F,Flight,4,2 - 4 (Rendah),5,satisfied,216,2,Seldom,low,M,59,> 7 (High),3088,1333 - 4149 (Medium),1
A,Flight,2,2 - 4 (Rendah),2,neutral or dissatisfied,183,4,Often,low,M,48,> 7 (High),3374,1333 - 4149 (Medium),1
B,Flight,3,2 - 4 (Rendah),3,neutral or dissatisfied,176,4,Often,medium,M,10,> 7 (High),1177,0 - 1332 (Small),1
C,Flight,2,2 - 4 (Rendah),2,neutral or dissatisfied,184,3,Seldom,medium,F,46,> 7 (High),2484,1333 - 4149 (Medium),1
F,Flight,3,2 - 4 (Rendah),1,neutral or dissatisfied,162,3,Seldom,medium,F,12,> 7 (High),1417,1333 - 4149 (Medium),1
D,Flight,3,2 - 4 (Rendah),4,satisfied,250,3,Seldom,low,F,3,0 - 3 (Low),2371,1333 - 4149 (Medium),1
F,Flight,4,2 - 4 (Rendah),1,neutral or dissatisfied,233,2,Seldom,low,F,48,> 7 (High),2804,1333 - 4149 (Medium),1
A,Flight,3,2 - 4 (Rendah),4,satisfied,150,3,Seldom,low,F,11,> 7 (High),1861,1333 - 4149 (Medium),1
B,Flight,3,2 - 4 (Rendah),2,neutral or dissatisfied,164,3,Seldom,medium,F,29,> 7 (High),1187,0 - 1332 (Small),1
C,Flight,3,2 - 4 (Rendah),4,satisfied,189,2,Seldom,medium,M,12,> 7 (High),2888,1333 - 4149 (Medium),1
F,Flight,4,2 - 4 (Rendah),5,satisfied,232,3,Seldom,medium,F,32,> 7 (High),3253,1333 - 4149 (Medium),1
D,Flight,3,2 - 4 (Rendah),5,satisfied,198,3,Seldom,medium,F,1,0 - 3 (Low),3667,1333 - 4149 (Medium),1
F,Flight,4,2 - 4 (Rendah),4,satisfied,275,3,Seldom,high,M,29,> 7 (High),2602,1333 - 4149 (Medium),1
A,Flight,4,2 - 4 (Rendah),3,neutral or dissatisfied,152,3,Seldom,low,M,43,> 7 (High),1009,0 - 1332 (Small),1
B,Flight,4,2 - 4 (Rendah),3,neutral or dissatisfied,227,3,Seldom,low,F,45,> 7 (High),2707,1333 - 4149 (Medium),1
C,Flight,3,2 - 4 (Rendah),4,satisfied,143,2,Seldom,medium,F,6,4 - 7 (Medium),1194,0 - 1332 (Small),1
